address,business_description,company_name,decision,maps_url,phone,reason,source_url,status,url
7340026 広島県広島市南区仁保２丁目１番２６号,自動車の開発（設計・解析・試験）および工業デザイン、車両の製造を中心に、カスタマイズ車両の企画・開発・生産事業を行う。 所在地: 広島県 所在地: 広島県広島市南区 所在地: 広島県広島市中区 所在地: 広島県広島市西区 所在地: 広島県広島市南区,株式会社マツダＥ＆Ｔ,keep,,代表者名 京免 章,,https://db.grip.website/detail/9240001016343,MEOハブ候補,https://www.mazda-eandt.co.jp/
1000011 東京都千代田区内幸町２丁目２番２号,株式会社東京アールアンドデーは、1981年9月設立、東京都千代田区内幸町に本社を置く総合エンジニアリングサービス企業。デザイン・モデリング・設計・試作など製品開発に関わる業務を受託するワンストップ開発サービスを提供。開発コンサルティングも手がける。従業員104名（2025年4月）。 所在地: 東京都千代田区 所在地: 東京都新宿区 所在地: 東京都新宿区 所在地: 東京都新宿区 所在地: 東京都練馬区,株式会社東京アールアンドデー,keep,,03-3595-0862,,https://db.grip.website/detail/6010001140251,MEOハブ候補,https://www.tr-d.co.jp/about/company.html
2520815 神奈川県藤沢市石川５丁目２７番地の１ＰＫＧ湘南ビル２階,"株式会社テクモは、1970年8月に創業した神奈川県茅ヶ崎市に本社を置く企業。デザイン、エンジニアリング・企画構想業務、人材採用・派遣関連事業を展開する。従業員数160名を擁し、資本金は2,000万円。 所在地: 神奈川県横浜市中区 所在地: 神奈川県横浜市青葉区 所在地: 神奈川県横浜市青葉区 所在地: 神奈川県相模原市南区 所在地: 神奈川県横浜市都筑区",株式会社テクモ,keep,,0466-87-7821,,https://db.grip.website/detail/6021001001459,MEOハブ候補,http://www.tecm.co.jp/company/summary/index.html
3920015 長野県諏訪市大字中洲３７１番地１,工業デザイン、デザインコンサルティング、製品開発、試作設計、試作製作、量産設計、金型設計、グラフィックデザイン、マルチメディアデザイン 所在地: 長野県安曇野市 所在地: 長野県長野市 所在地: 長野県北安曇郡白馬村 所在地: 長野県長野市 所在地: 長野県上田市,有限会社ケルビム,keep,,0266-57-3435,,https://db.grip.website/detail/4100002029206,MEOハブ候補,https://cherubim-design.com/company/
5410048 大阪府大阪市中央区瓦町２丁目４番１０号,工業デザイン、プロダクトデザイン、商品企画、設計開発を行う。 所在地: 大阪府大阪市都島区 所在地: 大阪府大阪市中央区 所在地: 大阪府大阪市北区 所在地: 大阪府大阪市天王寺区 所在地: 大阪府大阪市浪速区,株式会社ハニカムエンジニアリング,keep,,06-6585-0397,,https://db.grip.website/detail/5120003006465,MEOハブ候補,https://claygn.com/
3340057 埼玉県川口市大字安行原７８５番地２,モックアップ、展示模型、工業デザインモデルの制作 所在地: 埼玉県所沢市 所在地: 埼玉県戸田市 所在地: 埼玉県新座市 所在地: 埼玉県さいたま市大宮区 所在地: 埼玉県志木市,有限会社グリップ,keep,,048-298-6990,,https://db.grip.website/detail/8030002102197,MEOハブ候補,https://www.grip-j.co.jp/
4650051 愛知県名古屋市名東区社が丘３丁目１７０６番地の１,工業デザイン、工業製品の企画・調査・研究・モデル製作 所在地: 愛知県名古屋市昭和区 所在地: 愛知県春日井市 所在地: 愛知県豊田市 所在地: 愛知県豊田市 所在地: 愛知県名古屋市守山区,阿吽スタイル有限会社,keep,,052-703-0474,,https://db.grip.website/detail/5180002048602,MEOハブ候補,https://aunstyle.jp/html/about/index.html
2200024 神奈川県横浜市西区西平沼町４番１－Ｗ１１２７号,NIDOインダストリアルデザイン事務所は、1965年設立の東京都新宿区に拠点を置くデザイン事務所です。主な事業内容は、福祉機器、健康機器、子供の環境用具などの企画から製品デザイン完成までのプロセスを一貫して手がけることです。 所在地: 神奈川県横浜市都筑区 所在地: 神奈川県相模原市南区 所在地: 神奈川県横須賀市 所在地: 神奈川県横浜市青葉区 所在地: 神奈川県藤沢市,有限会社ニドインダストリアルデザイン事務所,keep,,代表者名,,https://db.grip.website/detail/9011102009663,MEOハブ候補,http://www.nido-design.co.jp/pages/about.html
2260021 神奈川県横浜市緑区北八朔町１００番地,自動車メーカーのデザイン開発、カーデザイン、オリジナルパーツの販売。MAXLINER／CARRYBOYの日本正規代理店。 所在地: 神奈川県横浜市都筑区 所在地: 神奈川県平塚市 所在地: 神奈川県横浜市戸塚区 所在地: 神奈川県相模原市緑区 所在地: 神奈川県伊勢原市,ディーアンドディー株式会社,keep,,045-482-4030,,https://db.grip.website/detail/6020001084860,MEOハブ候補,http://dd-asia.jp/
6800033 鳥取県鳥取市二階町２丁目２０７五臓圓ビル内,ガーデン・エクステリア・インテリア商品の企画、販売。プロダクトデザイン、グラフィックデザイン、空間演出、コンサルティング。ECサイト「くらしのしるし」の運営。 所在地: 鳥取県鳥取市 所在地: 鳥取県米子市 所在地: 鳥取県鳥取市 所在地: 鳥取県米子市 所在地: 鳥取県鳥取市,株式会社ｎｉｄｏ,keep,,0857-50-0200,,https://db.grip.website/detail/4270001002948,MEOハブ候補,https://nido-ltd.jp/about-us/
3230155 栃木県小山市大字福良８５番地,3DCADモデル製作、試作品、ワーキングモデル、スケールモデル、デザイン、真空注型、試作金型、試作成型、塗装 所在地: 栃木県小山市 所在地: 栃木県宇都宮市 所在地: 栃木県足利市 所在地: 栃木県 所在地: 栃木県,有限会社ヤマ・テクノ・イノベート,keep,,代表者名,,https://db.grip.website/detail/1060002029510,MEOハブ候補,https://www.yamatechno.com/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81-1/
9810924 宮城県仙台市青葉区双葉ケ丘１丁目２２番５号ガーデンシティービル２階Ｂ,工業系CG動画制作、プロダクトデザイン、WEBデザイン、DTP、イラスト制作。商品開発のサポート、ユーザー本位の売れる商品づくり、優れた技術をPRする3次元CG動画制作。展示会、YouTube、タブレット営業、ARへの活用提案。 所在地: 宮城県仙台市青葉区 所在地: 宮城県仙台市青葉区 所在地: 宮城県仙台市若林区 所在地: 宮城県仙台市青葉区 所在地: 宮城県仙台市青葉区,有限会社デザイン・モジュール,keep,,022-342-8145,,https://db.grip.website/detail/7370002012388,MEOハブ候補,https://design-module.co.jp/
3160032 茨城県日立市西成沢町４丁目３８番１４号,プロダクトデザイン開発。3Dデータやプロトタイプを駆使して売れる商品をデザイン開発。 所在地: 茨城県水戸市 所在地: 茨城県つくば市 所在地: 茨城県高萩市 所在地: 茨城県つくば市 所在地: 茨城県水戸市,アルテサーノ・デザイン合同会社,keep,,090-3572-3021,,https://db.grip.website/detail/7050003002395,MEOハブ候補,https://www.terunaga.com/about-artesano/
1080075 東京都港区港南１丁目６番４１号,文化財の保存や公開、ミュージアムの整備再生、文化観光・地域創生、デジタルアーカイブの活用に関する調査研究、企画、デザイン、設計監理を提供します。 所在地: 東京都港区 所在地: 東京都新宿区 所在地: 東京都狛江市 所在地: 東京都新宿区 所在地: 東京都渋谷区,株式会社丹青研究所,keep,,03-6455-8280,,https://db.grip.website/detail/7010501019192,MEOハブ候補,https://www.tanseiken.jp/
6250062 京都府舞鶴市字森４１９番地の１,タケダ工芸株式会社は、広告宣伝に関するあらゆる分野に対応する専門店です。主な事業内容は、工事看板、中古看板、リース看板の提供です。地域社会のニーズに応え、顧客満足度の高い商品と情報を提供することを目指しています。主要ターゲット顧客は、広告宣伝を必要とする企業や団体と考えられます。 所在地: 京都府京都市中京区 所在地: 京都府京都市中京区 所在地: 京都府京都市南区 所在地: 京都府京都市伏見区 所在地: 京都府京都市中京区,タケダ工芸株式会社,keep,,0773-63-0178,,https://db.grip.website/detail/6130001043483,MEOハブ候補,https://takeda-kougei.com/company_profile/
6660024 兵庫県川西市久代３丁目２９番２６号,3DCG制作（コンピュータグラフィクスによるモデリング、アニメーション）特殊映像編集（VFX、実写映像の編集） 建築パース制作 グラフィックデザイン用CG作成 プロダクトデザイン・モデリング VR・AR用動画の作成 実写映像の撮影 キャラクター作成 ゲーム開発 所在地: 兵庫県神戸市灘区 所在地: 兵庫県神戸市中央区 所在地: 兵庫県明石市 所在地: 兵庫県西宮市 所在地: 兵庫県宝塚市,株式会社Ｂｏｏｔｈ,keep,,代表者名 金澤 成剛,,https://db.grip.website/detail/8120001119687,MEOハブ候補,http://www.booth-web.com/
5300011 大阪府大阪市北区大深町５番５４号,文房具の製造・仕入れ・販売、オフィス家具の製造・仕入れ・販売、空間デザイン・コンサルテーションなど 所在地: 大阪府大阪市住之江区 所在地: 大阪府大阪市東淀川区 所在地: 大阪府大阪市城東区 所在地: 大阪府大阪市鶴見区 所在地: 大阪府大阪市淀川区,コクヨ株式会社,keep,,代表者名 代表執行役社長 黒 田 英 邦,,https://db.grip.website/detail/6120001012282,MEOハブ候補,https://www.kokuyo.com/sustainability/
